object,distance_cm,angle_deg,band_center_hz,n_trials,snr_gain_db_mean,snr_gain_db_median,snr_gain_db_std,snr_db_bandpassed_mean,snr_db_detrended_only_mean
Dose,25,5.0,60000.0,100,9.070928867859164,9.080353467991461,0.053758509769448855,11.36381640509107,2.2928875372319046
Dose,25,10.0,40000.0,100,0.87639756076616,0.8898727990151577,0.07977569954554178,2.560245386208428,1.6838478254422677
Dose,25,10.0,50000.0,100,12.189926041814234,12.18127923610785,0.06554203622927816,13.873773867256503,1.6838478254422677
Dose,25,10.0,60000.0,100,9.233465213117073,9.212222675691091,0.13612934051117587,10.91731303855934,1.6838478254422677
Dose,50,-10.0,40000.0,100,4.802133612378572,4.807181028194257,0.05530935670417809,9.963088477689244,5.160954865310672
Dose,50,-10.0,50000.0,100,8.675695296389517,8.672344181306457,0.05578020689570203,13.836650161700188,5.160954865310672
Dose,50,-10.0,60000.0,100,8.18060959780264,8.202299064323853,0.1855178199478125,13.341564463113311,5.160954865310672
Dose,50,-5.0,40000.0,100,4.429912333249444,4.4275801653058,0.07370658682700605,8.230161133868451,3.8002488006190074
Dose,50,-5.0,50000.0,100,8.782075585291754,8.790152474570966,0.075393633644379,12.582324385910761,3.8002488006190074
Dose,50,-5.0,60000.0,100,9.255459537682551,9.257409608074465,0.11949012818068436,13.055708338301558,3.8002488006190074
Dose,50,0.0,40000.0,100,4.77494988531819,4.772823715051076,0.026329990655577198,13.896883480250244,9.121933594932056
Dose,50,0.0,50000.0,100,8.560281505016167,8.559951232195868,0.02063958973136374,17.682215099948223,9.121933594932056
Dose,50,0.0,60000.0,100,7.97510996951097,7.983594500839356,0.07241600415003994,17.097043564443027,9.121933594932056
Dose,50,5.0,40000.0,100,4.381936357659228,4.38002585091389,0.052893261932132105,11.336252677735175,6.954316320075946
Dose,50,5.0,50000.0,100,8.904164322381403,8.904200776635774,0.047127974422850966,15.858480642457348,6.954316320075946
Dose,50,5.0,60000.0,100,9.708278942160492,9.733201368899863,0.15421750203580387,16.66259526223644,6.954316320075946
Dose,50,10.0,40000.0,100,4.368428840699032,4.372931296445092,0.06871996377539856,10.02929092835016,5.660862087651131
Dose,50,10.0,50000.0,100,8.897222948898555,8.892959240314642,0.05721101855441206,14.558085036549688,5.660862087651131
Dose,50,10.0,60000.0,100,9.866041022293373,9.879237964918575,0.1649722566196228,15.526903109944504,5.660862087651131
Dose,75,-10.0,40000.0,100,4.000146161562738,3.9935922523869127,0.09952127921955142,8.304741541773103,4.304595380210364
Dose,75,-10.0,50000.0,100,13.034740118486633,13.016594998914318,0.13663106160721933,17.339335498696997,4.304595380210364
Dose,75,-10.0,60000.0,100,11.930425957414368,11.92706232429392,0.1638090969674161,16.235021337624733,4.304595380210364
Dose,75,-5.0,40000.0,100,3.964157986758549,3.980235654457588,0.12732780138089553,7.636057497036353,3.6718995102778034
Dose,75,-5.0,50000.0,100,13.035239093011878,13.039189723489045,0.1486269312236895,16.707138603289682,3.6718995102778034
Dose,75,-5.0,60000.0,100,11.98340040866848,11.98907423903167,0.1434086540235672,15.655299918946284,3.6718995102778034
Dose,75,0.0,40000.0,100,4.002724221738375,4.012682423201867,0.09725033794885839,11.174215160620323,7.171490938881947
Dose,75,0.0,50000.0,100,11.945456426057241,11.952838408212868,0.10161228406358083,19.116947364939186,7.171490938881947
Dose,75,0.0,60000.0,100,9.826308367954635,9.836522505685483,0.13709363781615666,16.997799306836583,7.171490938881947
Dose,75,5.0,40000.0,100,4.070143679037147,4.071850696985743,0.06544212724010277,10.91089500696902,6.840751327931871
Dose,75,5.0,50000.0,100,12.453629686282333,12.453320588803336,0.06992968133874825,19.294381014214206,6.840751327931871
